daily,daily_accident
2022-04-01,253
2022-04-02,341
2022-04-03,298
2022-04-04,222
2022-04-05,300
2022-04-06,244
2022-04-07,287
2022-04-08,327
2022-04-09,235
2022-04-10,303
2022-04-11,461
2022-04-12,178
2022-04-13,264
2022-04-14,314
2022-04-15,255
2022-04-16,294
2022-04-17,197
2022-04-18,227
2022-04-19,236
2022-04-20,270
2022-04-21,320
2022-04-22,289
2022-04-23,250
2022-04-24,263
2022-04-25,233
2022-04-26,290
2022-04-27,269
2022-04-28,271
2022-04-29,370
2022-04-30,316
2022-05-01,298
2022-05-02,259
2022-05-03,262
2022-05-04,232
2022-05-05,323
2022-05-06,201
2022-05-07,299
2022-05-08,331
2022-05-09,297
2022-05-10,324
2022-05-11,282
2022-05-12,295
2022-05-13,364
2022-05-14,342
2022-05-15,216
2022-05-16,291
2022-05-17,354
2022-05-18,341
2022-05-19,299
2022-05-20,358
2022-05-21,290
2022-05-22,263
2022-05-23,263
2022-05-24,325
2022-05-25,273
2022-05-26,270
2022-05-27,365
2022-05-28,297
2022-05-29,224
2022-05-30,280
2022-05-31,284
2022-06-01,266
2022-06-02,212
2022-06-03,198
2022-06-04,271
2022-06-05,360
2022-06-06,271
2022-06-07,280
2022-06-08,327
2022-06-09,289
2022-06-10,351
2022-06-11,202
2022-06-12,348
2022-06-13,317
2022-06-14,355
2022-06-15,336
2022-06-16,365
2022-06-17,454
2022-06-18,275
2022-06-19,216
2022-06-20,351
2022-06-21,396
2022-06-22,398
2022-06-23,296
2022-06-24,376
2022-06-25,297
2022-06-26,269
2022-06-27,301
2022-06-28,302
2022-06-29,273
2022-06-30,294
2022-07-01,331
2022-07-02,321
2022-07-03,237
2022-07-04,283
2022-07-05,278
2022-07-06,325
2022-07-07,326
2022-07-08,267
2022-07-09,314
2022-07-10,370
2022-07-11,304
2022-07-12,344
2022-07-13,317
2022-07-14,359
2022-07-15,357
2022-07-16,293
2022-07-17,285
2022-07-18,296
2022-07-19,283
2022-07-20,266
2022-07-21,275
2022-07-22,273
2022-07-23,278
2022-07-24,245
2022-07-25,246
2022-07-26,260
2022-07-27,279
2022-07-28,244
2022-07-29,327
2022-07-30,258
2022-07-31,264
2022-08-01,216
2022-08-02,261
2022-08-03,260
2022-08-04,301
2022-08-05,269
2022-08-06,344
2022-08-07,411
2022-08-08,277
2022-08-09,319
2022-08-10,348
2022-08-11,331
2022-08-12,407
2022-08-13,347
2022-08-14,255
2022-08-15,259
2022-08-16,250
2022-08-17,265
2022-08-18,301
2022-08-19,338
2022-08-20,277
2022-08-21,249
2022-08-22,248
2022-08-23,265
2022-08-24,271
2022-08-25,276
2022-08-26,333
2022-08-27,299
2022-08-28,219
2022-08-29,201
2022-08-30,262
2022-08-31,289
2022-09-01,224
2022-09-02,307
2022-09-03,273
2022-09-04,268
2022-09-05,288
2022-09-06,307
2022-09-07,338
2022-09-08,331
2022-09-09,297
2022-09-10,220
2022-09-11,377
2022-09-12,383
2022-09-13,308
2022-09-14,296
2022-09-15,290
2022-09-16,383
2022-09-17,308
2022-09-18,266
2022-09-19,141
2022-09-20,313
2022-09-21,276
2022-09-22,311
2022-09-23,335
2022-09-24,296
2022-09-25,255
2022-09-26,295
2022-09-27,305
2022-09-28,328
2022-09-29,324
2022-09-30,350
2022-10-01,274
2022-10-02,305
2022-10-03,292
2022-10-04,206
2022-10-05,271
2022-10-06,388
2022-10-07,352
2022-10-08,383
2022-10-09,247
2022-10-10,369
2022-10-11,310
2022-10-12,308
2022-10-13,339
2022-10-14,357
2022-10-15,313
2022-10-16,246
2022-10-17,299
2022-10-18,320
2022-10-19,271
2022-10-20,347
2022-10-21,369
2022-10-22,287
2022-10-23,226
2022-10-24,247
2022-10-25,267
2022-10-26,315
2022-10-27,265
2022-10-28,350
2022-10-29,282
2022-10-30,234
2022-10-31,328
2022-11-01,290
2022-11-02,372
2022-11-03,313
2022-11-04,206
2022-11-05,326
2022-11-06,285
2022-11-07,330
2022-11-08,345
2022-11-09,251
2022-11-10,295
2022-11-11,316
2022-11-12,246
2022-11-13,253
2022-11-14,287
2022-11-15,343
2022-11-16,372
2022-11-17,375
2022-11-18,372
2022-11-19,286
2022-11-20,211
2022-11-21,338
2022-11-22,323
2022-11-23,348
2022-11-24,329
2022-11-25,394
2022-11-26,268
2022-11-27,236
2022-11-28,356
2022-11-29,292
2022-11-30,303
2022-12-01,366
2022-12-02,237
2022-12-03,279
2022-12-04,231
2022-12-05,355
2022-12-06,248
2022-12-07,285
2022-12-08,349
2022-12-09,267
2022-12-10,252
2022-12-11,296
2022-12-12,194
2022-12-13,235
2022-12-14,307
2022-12-15,381
2022-12-16,357
2022-12-17,259
2022-12-18,223
2022-12-19,235
2022-12-20,308
2022-12-21,281
2022-12-22,275
2022-12-23,279
2022-12-24,220
2022-12-25,132
2022-12-26,168
2022-12-27,183
2022-12-28,177
2022-12-29,191
2022-12-30,193
2022-12-31,179
