daily,daily_accident
2018-12-21,363
2018-12-22,306
2018-12-23,274
2018-12-24,275
2018-12-25,130
2018-12-26,174
2018-12-27,231
2018-12-28,238
2018-12-29,220
2018-12-30,183
2018-12-31,202
2019-01-01,231
2019-01-02,318
2019-01-03,305
2019-01-04,312
2019-01-05,309
2019-01-06,320
2019-01-07,329
2019-01-08,351
2019-01-09,268
2019-01-10,372
2019-01-11,417
2019-01-12,251
2019-01-13,176
2019-01-14,319
2019-01-15,348
2019-01-16,370
2019-01-17,396
2019-01-18,327
2019-01-19,236
2019-01-20,205
2019-01-21,325
2019-01-22,432
2019-01-23,367
2019-01-24,327
2019-01-25,375
2019-01-26,258
2019-01-27,205
2019-01-28,358
2019-01-29,350
2019-01-30,412
2019-01-31,312
2019-02-01,193
2019-02-02,294
2019-02-03,286
2019-02-04,350
2019-02-05,342
2019-02-06,243
2019-02-07,327
2019-02-08,351
2019-02-09,323
2019-02-10,433
2019-02-11,334
2019-02-12,434
2019-02-13,328
2019-02-14,392
2019-02-15,401
2019-02-16,275
2019-02-17,247
2019-02-18,282
2019-02-19,307
2019-02-20,296
2019-02-21,323
2019-02-22,327
2019-02-23,328
2019-02-24,284
2019-02-25,360
2019-02-26,374
2019-02-27,369
2019-02-28,309
2019-03-01,217
2019-03-02,257
2019-03-03,192
2019-03-04,348
2019-03-05,366
2019-03-06,321
2019-03-07,373
2019-03-08,285
2019-03-09,280
2019-03-10,341
2019-03-11,253
2019-03-12,431
2019-03-13,289
2019-03-14,318
2019-03-15,327
2019-03-16,267
2019-03-17,258
2019-03-18,285
2019-03-19,285
2019-03-20,327
2019-03-21,303
2019-03-22,318
2019-03-23,280
2019-03-24,294
2019-03-25,336
2019-03-26,332
2019-03-27,309
2019-03-28,331
2019-03-29,415
2019-03-30,314
2019-03-31,227
2019-04-01,233
2019-04-02,336
2019-04-03,312
2019-04-04,348
2019-04-05,307
2019-04-06,348
2019-04-07,389
2019-04-08,242
2019-04-09,331
2019-04-10,395
2019-04-11,370
2019-04-12,495
2019-04-13,284
2019-04-14,198
2019-04-15,277
2019-04-16,241
2019-04-17,299
2019-04-18,304
2019-04-19,305
2019-04-20,370
2019-04-21,293
2019-04-22,242
2019-04-23,298
2019-04-24,317
2019-04-25,314
2019-04-26,344
2019-04-27,268
2019-04-28,221
2019-04-29,283
2019-04-30,350
2019-05-01,194
2019-05-02,302
2019-05-03,363
2019-05-04,333
2019-05-05,251
2019-05-06,341
2019-05-07,385
2019-05-08,298
2019-05-09,341
2019-05-10,294
2019-05-11,367
2019-05-12,428
2019-05-13,383
2019-05-14,385
2019-05-15,404
2019-05-16,380
2019-05-17,288
2019-05-18,266
2019-05-19,216
2019-05-20,296
2019-05-21,372
2019-05-22,349
2019-05-23,396
2019-05-24,403
2019-05-25,305
2019-05-26,225
2019-05-27,210
2019-05-28,302
2019-05-29,298
2019-05-30,324
2019-05-31,299
2019-06-01,190
2019-06-02,324
2019-06-03,333
2019-06-04,253
2019-06-05,195
2019-06-06,384
2019-06-07,340
2019-06-08,309
2019-06-09,326
2019-06-10,244
2019-06-11,356
2019-06-12,399
2019-06-13,324
2019-06-14,345
2019-06-15,312
2019-06-16,279
2019-06-17,311
2019-06-18,339
2019-06-19,311
2019-06-20,345
2019-06-21,416
2019-06-22,342
2019-06-23,261
2019-06-24,330
2019-06-25,296
2019-06-26,314
2019-06-27,403
2019-06-28,413
2019-06-29,371
2019-06-30,292
2019-07-01,309
2019-07-02,347
2019-07-03,307
2019-07-04,249
2019-07-05,317
2019-07-06,400
2019-07-07,313
2019-07-08,315
2019-07-09,294
2019-07-10,304
2019-07-11,398
2019-07-12,294
2019-07-13,287
2019-07-14,254
2019-07-15,362
2019-07-16,333
2019-07-17,377
2019-07-18,345
2019-07-19,390
2019-07-20,313
2019-07-21,265
2019-07-22,307
2019-07-23,392
2019-07-24,352
2019-07-25,339
2019-07-26,367
2019-07-27,312
2019-07-28,250
2019-07-29,305
2019-07-30,294
2019-07-31,330
2019-08-01,351
2019-08-02,348
2019-08-03,390
2019-08-04,265
2019-08-05,340
2019-08-06,297
2019-08-07,326
2019-08-08,312
2019-08-09,279
2019-08-10,362
2019-08-11,448
2019-08-12,265
2019-08-13,301
2019-08-14,300
2019-08-15,329
2019-08-16,335
2019-08-17,312
2019-08-18,221
2019-08-19,322
2019-08-20,283
2019-08-21,319
2019-08-22,305
2019-08-23,395
2019-08-24,328
2019-08-25,337
2019-08-26,264
2019-08-27,346
2019-08-28,296
2019-08-29,314
2019-08-30,325
2019-08-31,257
2019-09-01,381
2019-09-02,266
2019-09-03,263
2019-09-04,273
2019-09-05,297
2019-09-06,263
2019-09-07,295
2019-09-08,365
2019-09-09,344
2019-09-10,319
2019-09-11,338
2019-09-12,354
2019-09-13,402
2019-09-14,344
2019-09-15,297
