input_window_in_hours,output_window_in_hours,MAE,RMSE,MAPE,MSE
30,418,54.45,68.74,22.12,4725.45
60,388,55.23,68.77,22.55,4729.33
90,358,52.84,65.71,20.73,4317.3
120,328,53.43,66.13,21.13,4373.56
150,298,49.77,63.88,19.4,4080.04
