input_window_in_hours,output_window_in_hours,MAE,RMSE,MAPE,MSE
30,418,43.25,55.41,16.79,3070.7
60,388,43.65,55.77,17.07,3110.02
90,358,42.32,53.77,16.0,2890.73
120,328,41.65,52.75,15.83,2782.79
150,298,41.52,52.67,15.53,2774.17
